id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,3,3,40.71000700,19.94577900,0,7,4,0,217,0
2,Dibër,0,0,41.59991200,20.26165100,0,1,1,0,36,0
3,Durrës,50,44,41.33054100,19.46326500,6,177,121,0,1437,6
4,Elbasan,2,1,41.11456500,20.08415200,1,20,18,0,492,0
5,Fier,5,2,40.72902000,19.56091000,3,50,42,0,908,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,471,0
7,Korçe,1,1,40.61812600,20.77752800,0,19,18,0,249,0
8,Kukës,0,0,42.07545200,20.42317600,0,37,36,0,412,1
9,Lezhë,2,2,41.78537300,19.64099400,0,52,50,0,584,0
10,Shkodër,16,15,42.06776800,19.51425000,0,121,103,1,1095,2
11,Tiranë,82,72,41.33278100,19.81696400,10,391,291,0,4613,18
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,534,1
