id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,2,2,40.71000700,19.94577900,0,14,12,0,475,0
2,Dibër,8,7,41.59991200,20.26165100,1,9,1,0,61,0
3,Durrës,44,36,41.33054100,19.46326500,5,248,198,3,2124,6
4,Elbasan,1,0,41.11456500,20.08415200,1,21,20,0,572,0
5,Fier,8,8,40.72902000,19.56091000,0,58,47,0,1224,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,671,0
7,Korçe,1,1,40.61812600,20.77752800,0,19,18,0,291,0
8,Kukës,0,0,42.07545200,20.42317600,0,37,36,0,415,1
9,Lezhë,0,0,41.78537300,19.64099400,0,52,52,0,843,0
10,Shkodër,10,8,42.06776800,19.51425000,2,125,113,0,1360,2
11,Tiranë,158,139,41.33278100,19.81696400,18,549,371,1,6021,20
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,666,1
