id,name,active,confinement,latitude,longitude,hospitalized,total,recovered,intensive_care,tests,deaths
1,Berat,0,0,40.71000700,19.94577900,0,2,2,0,97,0
2,Dibër,0,0,41.59991200,20.26165100,0,0,0,0,15,0
3,Durrës,62,52,41.33054100,19.46326500,8,108,42,2,622,4
4,Elbasan,3,2,41.11456500,20.08415200,1,18,15,0,277,0
5,Fier,9,9,40.72902000,19.56091000,0,43,31,0,526,3
6,Gjirokastër,0,0,40.07869700,20.13633000,0,0,0,0,239,0
7,Korçe,1,0,40.61812600,20.77752800,1,19,18,0,223,0
8,Kukës,5,4,42.07545200,20.42317600,0,30,24,1,267,1
9,Lezhë,31,30,41.78537300,19.64099400,1,48,17,0,378,0
10,Shkodër,58,45,42.06776800,19.51425000,11,108,49,2,707,1
11,Tiranë,88,77,41.33278100,19.81696400,8,297,192,3,3079,17
12,Vlorë,0,0,40.46778700,19.48373700,0,5,4,0,338,1
